header,taxon,protein,sp,description,vog
2885911.YP_004956929.1 putative sigma factor for late transcription [Campylobacter phage CPX],2885911,YP_004956929.1,Campylobacter phage CPX, putative sigma factor for late transcription,VOG02363
2886902.YP_004957797.1 gp55 sigma factor for late transcription [Escherichia phage Cba120],2886902,YP_004957797.1,Escherichia phage Cba120, gp55 sigma factor for late transcription,VOG02363
293178.YP_001595192.1 RNA polymerase sigma factor [Escherichia phage JS98],293178,YP_001595192.1,Escherichia phage JS98, RNA polymerase sigma factor,VOG02363
31533.YP_009098450.1 RNA polymerase sigma factor [Escherichia phage RB3],31533,YP_009098450.1,Escherichia phage RB3, RNA polymerase sigma factor,VOG02363
321023.YP_238775.1 RNA polymerase sigma factor [Aeromonas virus 31],321023,YP_238775.1,Aeromonas virus 31, RNA polymerase sigma factor,VOG02363
329381.YP_003858349.1 gp55 Sigma factor for late transcription [Escherichia virus RB16],329381,YP_003858349.1,Escherichia virus RB16, gp55 Sigma factor for late transcription,VOG02363
36339.YP_009167437.1 RNA polymerase sigma factor [Enterobacteria phage RB68],36339,YP_009167437.1,Enterobacteria phage RB68, RNA polymerase sigma factor,VOG02363
382359.YP_717814.2 RNA polymerase sigma factor [Synechococcus phage syn9],382359,YP_717814.2,Synechococcus phage syn9, RNA polymerase sigma factor,VOG02363
444859.YP_004323037.1 sigma factor for late transcription [Synechococcus phage S-SM1],444859,YP_004323037.1,Synechococcus phage S-SM1, sigma factor for late transcription,VOG02363
444860.YP_004322282.1 sigma factor for late transcription [Synechococcus phage S-SM2],444860,YP_004322282.1,Synechococcus phage S-SM2, sigma factor for late transcription,VOG02363
444861.YP_004324502.1 sigma factor for late transcription [Prochlorococcus phage Syn1],444861,YP_004324502.1,Prochlorococcus phage Syn1, sigma factor for late transcription,VOG02363
444862.YP_004323278.1 sigma factor for late transcription [Prochlorococcus phage P-RSM4],444862,YP_004323278.1,Prochlorococcus phage P-RSM4, sigma factor for late transcription,VOG02363
444878.YP_004323741.1 sigma factor for late transcription [Prochlorococcus phage Syn33],444878,YP_004323741.1,Prochlorococcus phage Syn33, sigma factor for late transcription,VOG02363
445683.YP_004322799.1 sigma factor for late transcription [Synechococcus phage S-ShM2],445683,YP_004322799.1,Synechococcus phage S-ShM2, sigma factor for late transcription,VOG02363
445684.YP_004323964.1 sigma factor for late transcription [Synechococcus phage Syn19],445684,YP_004323964.1,Synechococcus phage Syn19, sigma factor for late transcription,VOG02363
445685.YP_004324741.1 sigma factor for late transcription [Synechococcus phage S-SSM5],445685,YP_004324741.1,Synechococcus phage S-SSM5, sigma factor for late transcription,VOG02363
445686.YP_004324208.1 sigma factor for late transcription [Synechococcus phage S-SSM7],445686,YP_004324208.1,Synechococcus phage S-SSM7, sigma factor for late transcription,VOG02363
445688.YP_004324965.1 sigma factor for late transcription [Prochlorococcus phage P-SSM7],445688,YP_004324965.1,Prochlorococcus phage P-SSM7, sigma factor for late transcription,VOG02363
445696.YP_004323498.1 sigma factor for late transcription [Prochlorococcus phage P-HM2],445696,YP_004323498.1,Prochlorococcus phage P-HM2, sigma factor for late transcription,VOG02363
445700.YP_004322554.1 sigma factor for late transcription [Prochlorococcus phage P-HM1],445700,YP_004322554.1,Prochlorococcus phage P-HM1, sigma factor for late transcription,VOG02363
448384.YP_001469386.1 gp55 Sigma factor for T4 late transcription [Escherichia phage Phi1],448384,YP_001469386.1,Escherichia phage Phi1, gp55 Sigma factor for T4 late transcription,VOG02363
45406.YP_803007.1 RNA polymerase sigma factor [Escherichia virus RB32],45406,YP_803007.1,Escherichia virus RB32, RNA polymerase sigma factor,VOG02363
454798.YP_009140240.1 hypothetical protein [Salmonella phage Det7],454798,YP_009140240.1,Salmonella phage Det7, hypothetical protein,VOG02363
50948.NP_891614.1 RNA polymerase sigma factor [Escherichia phage RB49],50948,NP_891614.1,Escherichia phage RB49, RNA polymerase sigma factor,VOG02363
536444.YP_007877723.1 hypothetical protein [Cyanophage P-RSM1],536444,YP_007877723.1,Cyanophage P-RSM1, hypothetical protein,VOG02363
536453.YP_008129962.1 hypothetical protein [Prochlorococcus phage P-SSM3],536453,YP_008129962.1,Prochlorococcus phage P-SSM3, hypothetical protein,VOG02363
536466.YP_007677283.1 late transcription sigma factor [Synechococcus phage S-SSM4],536466,YP_007677283.1,Synechococcus phage S-SSM4, late transcription sigma factor,VOG02363
536474.YP_007877930.1 sigma factor for late transcription [Synechococcus phage Syn30],536474,YP_007877930.1,Synechococcus phage Syn30, sigma factor for late transcription,VOG02363
555387.YP_003097329.1 T4-like late sigma factor [Synechococcus phage S-RSM4],555387,YP_003097329.1,Synechococcus phage S-RSM4, T4-like late sigma factor,VOG02363
576789.YP_002922116.1 RNA polymerase sigma factor [Escherichia phage JSE],576789,YP_002922116.1,Escherichia phage JSE, RNA polymerase sigma factor,VOG02363
576790.YP_002922411.1 RNA polymerase sigma factor [Escherichia phage JS10],576790,YP_002922411.1,Escherichia phage JS10, RNA polymerase sigma factor,VOG02363
637730.YP_003358596.1 Gp55 T4-like sigma factor involved in late transcription [Shigella phage Ag3],637730,YP_003358596.1,Shigella phage Ag3, Gp55 T4-like sigma factor involved in late transcription,VOG02363
645664.YP_003934688.1 sigma factor for T4 late transcription [Shigella phage SP18],645664,YP_003934688.1,Shigella phage SP18, sigma factor for T4 late transcription,VOG02363
665032.YP_003359079.1 gp55 sigma factor for T4 late transcription [Delftia phage PhiW-14],665032,YP_003359079.1,Delftia phage PhiW-14, gp55 sigma factor for T4 late transcription,VOG02363
66711.YP_009167877.1 RNA polymerase sigma factor [Escherichia phage AR1],66711,YP_009167877.1,Escherichia phage AR1, RNA polymerase sigma factor,VOG02363
687803.YP_009302218.1 RNA polymerase sigma factor for late transcription [Cyanophage S-RIM50],687803,YP_009302218.1,Cyanophage S-RIM50, RNA polymerase sigma factor for late transcription,VOG02363
69609.YP_009102271.1 RNA polymerase sigma factor [Enterobacteria phage RB27],69609,YP_009102271.1,Enterobacteria phage RB27, RNA polymerase sigma factor,VOG02363
698728.YP_003734211.1 gp55 sigma factor for T4 late transcription [Escherichia phage IME08],698728,YP_003734211.1,Escherichia phage IME08, gp55 sigma factor for T4 late transcription,VOG02363
700939.YP_004063748.1 gp55 RNA polymerase sigma factor [Escherichia phage vB_EcoM_VR7],700939,YP_004063748.1,Escherichia phage vB_EcoM_VR7, gp55 RNA polymerase sigma factor,VOG02363
707757.YP_003579922.1 RNA polymerase sigma factor [Klebsiella phage KP15],707757,YP_003579922.1,Klebsiella phage KP15, RNA polymerase sigma factor,VOG02363
709484.YP_004009915.1 RNA polymerase sigma factor [Enterobacter phage CC31],709484,YP_004009915.1,Enterobacter phage CC31, RNA polymerase sigma factor,VOG02363
722417.YP_009169182.1 putative sigma factor for T4-like late transcription (T4 gp55-like) [Campylobacter virus CP220],722417,YP_009169182.1,Campylobacter virus CP220, putative sigma factor for T4-like late transcription (T4 gp55-like),VOG02363
722418.YP_009168984.1 putative sigma factor for T4-like late transcription (T4 gp55-like) [Campylobacter virus CPt10],722418,YP_009168984.1,Campylobacter virus CPt10, putative sigma factor for T4-like late transcription (T4 gp55-like),VOG02363
75320.NP_899312.1 RNA polymerase sigma factor [Vibrio phage KVP40],75320,NP_899312.1,Vibrio phage KVP40, RNA polymerase sigma factor,VOG02363
754037.YP_007673093.1 sigma factor for late transcription [Synechococcus phage S-CAM1],754037,YP_007673093.1,Synechococcus phage S-CAM1, sigma factor for late transcription,VOG02363
754038.YP_008125651.1 hypothetical protein [Synechococcus phage S-CAM8],754038,YP_008125651.1,Synechococcus phage S-CAM8, hypothetical protein,VOG02363
754039.YP_008126434.1 hypothetical protein [Synechococcus phage S-IOM18],754039,YP_008126434.1,Synechococcus phage S-IOM18, hypothetical protein,VOG02363
754042.YP_007674494.1 sigma factor for late transcription [Synechococcus phage S-SKS1],754042,YP_007674494.1,Synechococcus phage S-SKS1, sigma factor for late transcription,VOG02363
756278.YP_009783037.1 RNA polymerase sigma factor for late transcription [Synechococcus phage S-RIM8],756278,YP_009783037.1,Synechococcus phage S-RIM8, RNA polymerase sigma factor for late transcription,VOG02363
760732.YP_004009727.1 gp55 sigma factor [Acinetobacter phage Acj61],760732,YP_004009727.1,Acinetobacter phage Acj61, gp55 sigma factor,VOG02363
760939.YP_004010254.1 gp55 sigma factor [Acinetobacter phage Acj9],760939,YP_004010254.1,Acinetobacter phage Acj9, gp55 sigma factor,VOG02363
762660.YP_004009472.1 gp55 sigma factor [Acinetobacter phage Ac42],762660,YP_004009472.1,Acinetobacter phage Ac42, gp55 sigma factor,VOG02363
869662.YP_007675594.1 hypothetical protein [Synechococcus phage S-RIM2 R1_1999],869662,YP_007675594.1,Synechococcus phage S-RIM2 R1_1999, hypothetical protein,VOG02363
879628.YP_003969248.1 sigma factor [Aeromonas phage phiAS4],879628,YP_003969248.1,Aeromonas phage phiAS4, sigma factor,VOG02363
879630.YP_003969448.1 sigma factor for T4 late transcription [Aeromonas phage phiAS5],879630,YP_003969448.1,Aeromonas phage phiAS5, sigma factor for T4 late transcription,VOG02363
889956.YP_007673956.1 late transcription sigma factor [Prochlorococcus phage MED4-213],889956,YP_007673956.1,Prochlorococcus phage MED4-213, late transcription sigma factor,VOG02363
926067.YP_009011456.1 gp55 sigma factor for late transcription [Aeromonas phage PX29],926067,YP_009011456.1,Aeromonas phage PX29, gp55 sigma factor for late transcription,VOG02363
926589.YP_007002740.1 sigma factor for late transcription [Escherichia phage PhaxI],926589,YP_007002740.1,Escherichia phage PhaxI, sigma factor for late transcription,VOG02363
929832.YP_007675119.1 hypothetical protein [Cyanophage P-RSM6],929832,YP_007675119.1,Cyanophage P-RSM6, hypothetical protein,VOG02363
934027.YP_004421673.1 gp55 Sigma factor for T4 late transcription [Campylobacter virus NCTC12673],934027,YP_004421673.1,Campylobacter virus NCTC12673, gp55 Sigma factor for T4 late transcription,VOG02363
990550.YP_009623330.1 hypothetical protein [Campylobacter virus CP81],990550,YP_009623330.1,Campylobacter virus CP81, hypothetical protein,VOG02363
1815509.YP_009282919.1 HTH domain-containing protein [Bacillus phage AR9],1815509,YP_009282919.1,Bacillus phage AR9, HTH domain-containing protein,VOG01445
2884423.YP_009664400.1 HTH transcriptional regulator [Bacillus phage PBS1],2884423,YP_009664400.1,Bacillus phage PBS1, HTH transcriptional regulator,VOG01445
2052742.YP_009623737.1 hypothetical protein [Yersinia phage fHe-Yen9-04],2052742,YP_009623737.1,Yersinia phage fHe-Yen9-04, hypothetical protein,VOG01445
2772511.YP_009594677.1 hypothetical protein [Pectinobacterium phage vB_PcaM_CBB],2772511,YP_009594677.1,Pectinobacterium phage vB_PcaM_CBB, hypothetical protein,VOG01445
"1118063.YP_006560744.1 sigma70, RNA polymerase sigma factor, positive control factor Xpf (C-terminal region) [Staphylococcus phage SpaA1]",1118063,YP_006560744.1,Staphylococcus phage SpaA1," sigma70, RNA polymerase sigma factor, positive control factor Xpf (C-terminal region)",VOG01445
"1118064.YP_009829867.1 sigma70, RNA polymerase sigma factor, positive control factor Xpf (C-terminal region) [Bacillus phage BceA1]",1118064,YP_009829867.1,Bacillus phage BceA1," sigma70, RNA polymerase sigma factor, positive control factor Xpf (C-terminal region)",VOG01445
1296659.YP_009226410.1 RNA polymerase subunit sigma-24 [Brevibacillus phage Jimmer1],1296659,YP_009226410.1,Brevibacillus phage Jimmer1, RNA polymerase subunit sigma-24,VOG01445
1296661.YP_009220148.1 RNA polymerase subunit sigma-24 [Brevibacillus phage Abouo],1296661,YP_009220148.1,Brevibacillus phage Abouo, RNA polymerase subunit sigma-24,VOG01445
1296662.YP_008858726.1 RNA polymerase subunit sigma-24 [Brevibacillus phage Davies],1296662,YP_008858726.1,Brevibacillus phage Davies, RNA polymerase subunit sigma-24,VOG01445
1445809.YP_009194044.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage vB_BtS_BMBtp3],1445809,YP_009194044.1,Bacillus phage vB_BtS_BMBtp3, sigma-70 family RNA polymerase sigma factor,VOG01445
1510440.YP_009099273.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage Waukesha92],1510440,YP_009099273.1,Bacillus phage Waukesha92, sigma-70 family RNA polymerase sigma factor,VOG01445
1591072.YP_009204902.1 sigma-70 family RNA polymerase sigma factor [Listeria phage vB_LmoS_188],1591072,YP_009204902.1,Listeria phage vB_LmoS_188, sigma-70 family RNA polymerase sigma factor,VOG01445
1591073.YP_009210518.1 sigma-70 family RNA polymerase sigma factor [Listeria phage vB_LmoS_293],1591073,YP_009210518.1,Listeria phage vB_LmoS_293, sigma-70 family RNA polymerase sigma factor,VOG01445
1643326.YP_009218190.1 positive control sigma-like factor [Bacillus phage phi4J1],1643326,YP_009218190.1,Bacillus phage phi4J1, positive control sigma-like factor,VOG01445
1691955.YP_009215114.1 RNA polymerase subunit sigma-24 [Brevibacillus phage Osiris],1691955,YP_009215114.1,Brevibacillus phage Osiris, RNA polymerase subunit sigma-24,VOG01445
1913112.YP_009831940.1 sigma-70 family RNA polymerase sigma factor [Aeribacillus phage AP45],1913112,YP_009831940.1,Aeribacillus phage AP45, sigma-70 family RNA polymerase sigma factor,VOG01445
754053.YP_008129926.1 sigma-70 family RNA polymerase sigma factor [Paenibacillus phage PG1],754053,YP_008129926.1,Paenibacillus phage PG1, sigma-70 family RNA polymerase sigma factor,VOG01445
1305708.YP_008058960.1 sigma-70 family RNA polymerase sigma factor [Clostridium phage vB_CpeS-CP51],1305708,YP_008058960.1,Clostridium phage vB_CpeS-CP51, sigma-70 family RNA polymerase sigma factor,VOG00050
2880537.YP_007517509.1 RNA polymerase sigma-70 factor [Bacillus phage Andromeda],2880537,YP_007517509.1,Bacillus phage Andromeda, RNA polymerase sigma-70 factor,VOG00050
2880540.YP_008771870.1 RNA polymerase sigma-70 factor [Bacillus phage Blastoid],2880540,YP_008771870.1,Bacillus phage Blastoid, RNA polymerase sigma-70 factor,VOG00050
2880541.YP_007517589.1 RNA polymerase sigma-70 factor [Bacillus phage Curly],2880541,YP_007517589.1,Bacillus phage Curly, RNA polymerase sigma-70 factor,VOG00050
2884419.YP_007517663.1 RNA polymerase sigma-70 factor [Bacillus phage Finn],2884419,YP_007517663.1,Bacillus phage Finn, RNA polymerase sigma-70 factor,VOG00050
2884421.YP_008770680.1 RNA polymerase sigma factor [Bacillus phage Glittering],2884421,YP_008770680.1,Bacillus phage Glittering, RNA polymerase sigma factor,VOG00050
2884426.YP_008770602.1 RNA polymerase sigma-70 factor [Bacillus phage Riggi],2884426,YP_008770602.1,Bacillus phage Riggi, RNA polymerase sigma-70 factor,VOG00050
2884430.YP_009592276.1 RNA polymerase sigma-70 factor [Bacillus phage Taylor],2884430,YP_009592276.1,Bacillus phage Taylor, RNA polymerase sigma-70 factor,VOG00050
1406790.YP_008772001.1 RNA polymerase sigma factor [Bacillus phage Slash],1406790,YP_008772001.1,Bacillus phage Slash, RNA polymerase sigma factor,VOG00050
1406792.YP_008770814.1 RNA polymerase sigma 70 factor [Bacillus phage Staley],1406792,YP_008770814.1,Bacillus phage Staley, RNA polymerase sigma 70 factor,VOG00050
1610832.YP_009203702.1 RNA polymerase sigma factor [Bacillus phage Stahl],1610832,YP_009203702.1,Bacillus phage Stahl, RNA polymerase sigma factor,VOG00050
1610833.YP_009196983.1 RNA polymerase sigma factor [Bacillus phage Stills],1610833,YP_009196983.1,Bacillus phage Stills, RNA polymerase sigma factor,VOG00050
1776293.YP_009274876.1 sporulation sigma factor SigF [Bacillus phage Eldridge],1776293,YP_009274876.1,Bacillus phage Eldridge, sporulation sigma factor SigF,VOG00050
2593638.YP_009850160.1 RNA polymerase sigma factor [Bacillus phage vB_BmeM-Goe8],2593638,YP_009850160.1,Bacillus phage vB_BmeM-Goe8, RNA polymerase sigma factor,VOG00050
1054968.YP_004782422.1 RNA polymerase ECF sigma factor [Salmonella phage 7-11],1054968,YP_004782422.1,Salmonella phage 7-11, RNA polymerase ECF sigma factor,VOG00050
1141137.YP_006987691.1 RNA polymerase ECF sigma factor [Cronobacter phage vB_CsaP_GAP52],1141137,YP_006987691.1,Cronobacter phage vB_CsaP_GAP52, RNA polymerase ECF sigma factor,VOG00050
148943.NP_835731.1 similar to RNA polymerase ECF-type sigma factor [Rhodothermus phage RM378],148943,NP_835731.1,Rhodothermus phage RM378, similar to RNA polymerase ECF-type sigma factor,VOG00050
1527770.YP_009099832.1 RNA polymerase sigma-70 factor [Rhizobium phage vB_RleM_P10VF],1527770,YP_009099832.1,Rhizobium phage vB_RleM_P10VF, RNA polymerase sigma-70 factor,VOG00050
1636182.YP_009189470.1 DNA-directed RNA polymerase specialized sigma subunit [Sinorhizobium phage phiM9],1636182,YP_009189470.1,Sinorhizobium phage phiM9, DNA-directed RNA polymerase specialized sigma subunit,VOG00050
2588517.YP_009847066.1 RNA polymerase ECF sigma factor [Aeromonas phage 4_4572],2588517,YP_009847066.1,Aeromonas phage 4_4572, RNA polymerase ECF sigma factor,VOG00050
2591030.YP_009847219.1 putative RNA polymerase ECF sigma factor [Aeromonas phage LAh_6],2591030,YP_009847219.1,Aeromonas phage LAh_6, putative RNA polymerase ECF sigma factor,VOG00050
2591032.YP_009847442.1 putative RNA polymerase ECF sigma factor [Aeromonas phage LAh_8],2591032,YP_009847442.1,Aeromonas phage LAh_8, putative RNA polymerase ECF sigma factor,VOG00050
2591033.YP_009847599.1 putative RNA polymerase ECF sigma factor [Aeromonas phage LAh_9],2591033,YP_009847599.1,Aeromonas phage LAh_9, putative RNA polymerase ECF sigma factor,VOG00050
2699738.YP_009833492.1 RNA polymerase ECF sigma factor [Cronobacter phage vB_CsaP_009],2699738,YP_009833492.1,Cronobacter phage vB_CsaP_009, RNA polymerase ECF sigma factor,VOG00050
2712958.YP_009857475.1 RNA polymerase sigma factor [Proteus phage Privateer],2712958,YP_009857475.1,Proteus phage Privateer, RNA polymerase sigma factor,VOG00050
2772059.YP_010110190.1 RNA polymerase sigma-W factor [crAssphage cr50_1],2772059,YP_010110190.1,crAssphage cr50_1, RNA polymerase sigma-W factor,VOG00050
2772060.YP_010110287.1 RNA polymerase sigma-W factor [crAssphage cr55_1],2772060,YP_010110287.1,crAssphage cr55_1, RNA polymerase sigma-W factor,VOG00050
2772063.YP_010110560.1 RNA polymerase sigma-W factor [crAssphage cr118_1],2772063,YP_010110560.1,crAssphage cr118_1, RNA polymerase sigma-W factor,VOG00050
2772064.YP_010110670.1 RNA polymerase sigma-W factor [crAssphage cr1_1],2772064,YP_010110670.1,crAssphage cr1_1, RNA polymerase sigma-W factor,VOG00050
2772066.YP_010110832.1 RNA polymerase sigma-W factor [crAssphage cr10_1],2772066,YP_010110832.1,crAssphage cr10_1, RNA polymerase sigma-W factor,VOG00050
2772079.YP_010112128.1 RNA polymerase sigma-W factor [crAssphage cr52_1],2772079,YP_010112128.1,crAssphage cr52_1, RNA polymerase sigma-W factor,VOG00050
2772080.YP_010112241.1 RNA polymerase sigma-W factor [crAssphage cr53_1],2772080,YP_010112241.1,crAssphage cr53_1, RNA polymerase sigma-W factor,VOG00050
2772081.YP_010112274.1 RNA polymerase sigma-W factor [crAssphage cr56_1],2772081,YP_010112274.1,crAssphage cr56_1, RNA polymerase sigma-W factor,VOG00050
2772082.YP_010112357.1 RNA polymerase sigma-W factor [crAssphage cr60_1],2772082,YP_010112357.1,crAssphage cr60_1, RNA polymerase sigma-W factor,VOG00050
2772083.YP_010112527.1 RNA polymerase sigma-W factor [crAssphage cr109_1],2772083,YP_010112527.1,crAssphage cr109_1, RNA polymerase sigma-W factor,VOG00050
2772084.YP_010112579.1 RNA polymerase sigma-W factor [crAssphage cr4_1],2772084,YP_010112579.1,crAssphage cr4_1, RNA polymerase sigma-W factor,VOG00050
2772085.YP_010112684.1 RNA polymerase sigma factor [crAssphage cr6_1],2772085,YP_010112684.1,crAssphage cr6_1, RNA polymerase sigma factor,VOG00050
2772086.YP_010112752.1 RNA polymerase sigma-W factor [crAssphage cr7_1],2772086,YP_010112752.1,crAssphage cr7_1, RNA polymerase sigma-W factor,VOG00050
2772087.YP_010112815.1 RNA polymerase sigma-W factor [crAssphage cr113_1],2772087,YP_010112815.1,crAssphage cr113_1, RNA polymerase sigma-W factor,VOG00050
2772088.YP_010112906.1 RNA polymerase sigma factor [crAssphage cr114_1],2772088,YP_010112906.1,crAssphage cr114_1, RNA polymerase sigma factor,VOG00050
2772089.YP_010113038.1 RNA polymerase sigma factor [crAssphage cr115_1],2772089,YP_010113038.1,crAssphage cr115_1, RNA polymerase sigma factor,VOG00050
2772090.YP_010113098.1 RNA polymerase sigma-W factor [crAssphage cr124_1],2772090,YP_010113098.1,crAssphage cr124_1, RNA polymerase sigma-W factor,VOG00050
2772091.YP_010113244.1 RNA polymerase sigma factor [crAssphage cr125_1],2772091,YP_010113244.1,crAssphage cr125_1, RNA polymerase sigma factor,VOG00050
2772092.YP_010113330.1 RNA polymerase sigma-W factor [crAssphage cr130_1],2772092,YP_010113330.1,crAssphage cr130_1, RNA polymerase sigma-W factor,VOG00050
2772093.YP_010113412.1 RNA polymerase sigma-W factor [crAssphage cr131_1],2772093,YP_010113412.1,crAssphage cr131_1, RNA polymerase sigma-W factor,VOG00050
2772094.YP_010113497.1 RNA polymerase sigma-W factor [crAssphage cr272_1],2772094,YP_010113497.1,crAssphage cr272_1, RNA polymerase sigma-W factor,VOG00050
2772095.YP_010113534.1 RNA polymerase sigma-W factor [crAssphage cr273_1],2772095,YP_010113534.1,crAssphage cr273_1, RNA polymerase sigma-W factor,VOG00050
1691954.YP_009199135.1 putative RNA polymerase sigma factor [Brevibacillus phage Jenst],1691954,YP_009199135.1,Brevibacillus phage Jenst, putative RNA polymerase sigma factor,VOG00050
1183239.YP_006383695.1 hypothetical protein [Salisaeta icosahedral phage 1 (SSIP-1)],1183239,YP_006383695.1,Salisaeta icosahedral phage 1 (SSIP-1), hypothetical protein,VOG00050
2488780.YP_009817077.1 RNA polymerase [Arthrobacter phage Liebe],2488780,YP_009817077.1,Arthrobacter phage Liebe, RNA polymerase,VOG00050
59241.YP_004306957.1 RNA polymerase sigma factor [Streptococcus phage Dp-1],59241,YP_004306957.1,Streptococcus phage Dp-1, RNA polymerase sigma factor,VOG00050
2065199.YP_009622104.1 helix-turn-helix DNA binding protein [Microbacterium phage Dismas],2065199,YP_009622104.1,Microbacterium phage Dismas, helix-turn-helix DNA binding protein,VOG00050
2201444.YP_009803165.1 RNA polymerase sigma factor [Microbacterium phage Zeta1847],2201444,YP_009803165.1,Microbacterium phage Zeta1847, RNA polymerase sigma factor,VOG00050
2250289.YP_009806822.1 RNA polymerase sigma factor [Microbacterium phage Eden],2250289,YP_009806822.1,Microbacterium phage Eden, RNA polymerase sigma factor,VOG00050
2419955.YP_009815387.1 RNA polymerase [Arthrobacter phage DrManhattan],2419955,YP_009815387.1,Arthrobacter phage DrManhattan, RNA polymerase,VOG00050
2419970.YP_009815662.1 RNA polymerase [Arthrobacter phage Yang],2419970,YP_009815662.1,Arthrobacter phage Yang, RNA polymerase,VOG00050
2419971.YP_009815177.1 RNA polymerase sigma factor [Microbacterium phage Armstrong],2419971,YP_009815177.1,Microbacterium phage Armstrong, RNA polymerase sigma factor,VOG00050
1161935.YP_007010532.1 RNA polymerase sigma factor [Salinivibrio phage CW02],1161935,YP_007010532.1,Salinivibrio phage CW02, RNA polymerase sigma factor,VOG00050
1622234.YP_009168428.1 putative sigma factor [Citrobacter phage CVT22],1622234,YP_009168428.1,Citrobacter phage CVT22, putative sigma factor,VOG00050
1784982.YP_009304524.1 RNA polymerase sigma factor [Pseudomonas phage O4],1784982,YP_009304524.1,Pseudomonas phage O4, RNA polymerase sigma factor,VOG00050
347327.YP_001294605.1 hypothetical protein ORF012 [Pseudomonas phage PA11],347327,YP_001294605.1,Pseudomonas phage PA11, hypothetical protein ORF012,VOG00050
1007127.YP_008873651.1 putative sigma factor [Staphylococcus phage Sb1],1007127,YP_008873651.1,Staphylococcus phage Sb1, putative sigma factor,VOG00050
1028375.YP_009780131.1 putative sigma factor [Staphylococcus phage ISP],1028375,YP_009780131.1,Staphylococcus phage ISP, putative sigma factor,VOG00050
1041526.YP_008854276.1 putative sigma factor [Staphylococcus phage S25-3],1041526,YP_008854276.1,Staphylococcus phage S25-3, putative sigma factor,VOG00050
1041527.YP_008854100.1 putative sigma factor [Staphylococcus phage S25-4],1041527,YP_008854100.1,Staphylococcus phage S25-4, putative sigma factor,VOG00050
1126949.YP_009783772.1 putative sigma factor [Bacillus phage B5S],1126949,YP_009783772.1,Bacillus phage B5S, putative sigma factor,VOG00050
1126950.YP_006907988.1 putative sigma factor [Bacillus phage BCP78],1126950,YP_006907988.1,Bacillus phage BCP78, putative sigma factor,VOG00050
1126951.YP_009783516.1 putative sigma factor [Bacillus phage BCU4],1126951,YP_009783516.1,Bacillus phage BCU4, putative sigma factor,VOG00050
1129192.YP_009149728.1 putative sigma factor [Bacillus phage BCP8-2],1129192,YP_009149728.1,Bacillus phage BCP8-2, putative sigma factor,VOG00050
1136731.YP_006907735.1 hypothetical protein [Bacillus phage BPS13],1136731,YP_006907735.1,Bacillus phage BPS13, hypothetical protein,VOG00050
1168744.YP_007676802.1 putative sigma factor [Listeria phage vB_LmoM_AG20],1168744,YP_007676802.1,Listeria phage vB_LmoM_AG20, putative sigma factor,VOG00050
1173764.YP_009042951.1 hypothetical protein [Listeria phage LP-048],1173764,YP_009042951.1,Listeria phage LP-048, hypothetical protein,VOG00050
1173765.YP_009784590.1 hypothetical protein [Listeria phage LP-124],1173765,YP_009784590.1,Listeria phage LP-124, hypothetical protein,VOG00050
1173766.YP_008240123.1 hypothetical protein [Listeria phage LP-125],1173766,YP_008240123.1,Listeria phage LP-125, hypothetical protein,VOG00050
1195072.YP_007677062.1 putative sigma factor [Bacillus phage vB_BceM_Bc431v3],1195072,YP_007677062.1,Bacillus phage vB_BceM_Bc431v3, putative sigma factor,VOG00050
1195076.YP_009780624.1 putative sigma factor [Staphylococcus phage Staph1N],1195076,YP_009780624.1,Staphylococcus phage Staph1N, putative sigma factor,VOG00050
1195077.YP_009780855.1 putative sigma factor [Staphylococcus phage A3R],1195077,YP_009780855.1,Staphylococcus phage A3R, putative sigma factor,VOG00050
1195079.YP_009781536.1 putative sigma factor [Staphylococcus phage MSA6],1195079,YP_009781536.1,Staphylococcus phage MSA6, putative sigma factor,VOG00050
1195080.YP_009781766.1 putative sigma factor [Staphylococcus phage P4W],1195080,YP_009781766.1,Staphylococcus phage P4W, putative sigma factor,VOG00050
1195081.YP_009781069.1 putative sigma factor [Staphylococcus phage 676Z],1195081,YP_009781069.1,Staphylococcus phage 676Z, putative sigma factor,VOG00050
1200862.YP_009275849.1 sigma factor [Staphylococcus phage Stau2],1200862,YP_009275849.1,Staphylococcus phage Stau2, sigma factor,VOG00050
1204533.YP_007349329.1 hypothetical protein [Bacillus phage phiAGATE],1204533,YP_007349329.1,Bacillus phage phiAGATE, hypothetical protein,VOG00050
1204543.YP_007005555.1 hypothetical protein [Staphylococcus virus SA11],1204543,YP_007005555.1,Staphylococcus virus SA11, hypothetical protein,VOG00050
1235659.YP_008431203.1 sigma factor [Staphylococcus phage vB_SauM_Remus],1235659,YP_008431203.1,Staphylococcus phage vB_SauM_Remus, sigma factor,VOG00050
1235660.YP_007677573.1 sigma factor [Staphylococcus phage vB_SauM_Romulus],1235660,YP_007677573.1,Staphylococcus phage vB_SauM_Romulus, sigma factor,VOG00050
1239383.YP_007112938.1 putative sigma factor [Staphylococcus phage JD007],1239383,YP_007112938.1,Staphylococcus phage JD007, putative sigma factor,VOG00050
1239385.YP_009780441.1 putative sigma factor [Staphylococcus phage SA5],1239385,YP_009780441.1,Staphylococcus phage SA5, putative sigma factor,VOG00050
