REGION,REGION_LENGTH,COMPLETENESS(score),SPECIFIC_KEYWORD,REGION_POSITION,TRNA_NUM,TOTAL_PROTEIN_NUM,PHAGE_HIT_PROTEIN_NUM,HYPOTHETICAL_PROTEIN_NUM,PHAGE+HYPO_PROTEIN_PERCENTAGE,BACTERIAL_PROTEIN_NUM,ATT_SITE_SHOWUP,PHAGE_SPECIES_NUM,MOST_COMMON_PHAGE_NAME(hit_genes_count),FIRST_MOST_COMMON_PHAGE_NUM,FIRST_MOST_COMMON_PHAGE_PERCENTAGE,GC_PERCENTAGE,acc,MOST_COMMON_PHAGE_NAME,MOST_COMMON_PHAGE_NUM,MOST_COMMON_PHAGE_PERCENTAGE
1,17.6Kb,questionable(70),"terminase,head,capsid,tail,virion",1152545-1170163,0,19,15,0,78.9%,4,no,4,NA,NA,NA,29.83%,AE015927.1,PHAGE_Clostr_phiCTP1,11,57.8%
2,44.4Kb,questionable(80),"integrase,tail,coat,head,portal",1657451-1701883,0,28,20,6,92.8%,2,yes,17,NA,NA,NA,28.37%,AE015927.1,PHAGE_Clostr_CD119,3,10.7%
3,37.4Kb,intact(140),"tail,plate,lysin,head,capsid,portal,terminase,recombinase",2248862-2286339,0,40,36,4,100%,0,yes,22,NA,NA,NA,28.96%,AE015927.1,PHAGE_Clostr_phiMMP04,10,25%
1,21.7Kb,questionable(90),"terminase,portal,head,tail",28359-50108,0,25,19,6,100%,0,no,10,NA,NA,NA,69.93%,AP006618.1,PHAGE_Mycoba_Giles,7,28%
2,38.8Kb,intact(130),"transposase,portal,capsid,tail,lysin,envelope,integrase",1669018-1707866,0,54,26,28,100%,0,yes,19,NA,NA,NA,67.47%,AP006618.1,PHAGE_Strept_phiSASD1,4,7.4%
3,40.1Kb,intact(140),"integrase,envelope,lysin,tail,capsid,transposase,portal",4103113-4143292,1,41,19,21,97.5%,1,yes,14,NA,NA,NA,65.33%,AP006618.1,PHAGE_Rhodoc_REQ3,5,12.1%
4,15.4Kb,incomplete(30),"terminase,envelope",4136309-4151800,3,24,14,9,95.8%,1,no,11,NA,NA,NA,64.19%,AP006618.1,PHAGE_Mycoba_Cjw1,4,16.6%
1,8.1Kb,incomplete(10),NA,283817-291992,0,8,7,0,87.5%,1,no,4,"PHAGE_Bacill_JL_NC_028982(2),PHAGE_Bacill_Shanette_NC_028983(2),PHAGE_Cronob_vB_CsaP_GAP52_NC_019402(2),PHAGE_Entero_phi92_NC_023693(1),PHAGE_Escher_phAPEC8_NC_020079(1),PHAGE_Pseudo_phiPsa374_NC_023601(1),PHAGE_Caulob_CcrColossus_NC_019406(1),PHAGE_Erwini_vB_EamM_Huxley_NC_031127(1),PHAGE_Erwini_vB_EamM_Caitlin_NC_031120(1),PHAGE_Erwini_vB_EamM_Asesino_NC_031107(1),PHAGE_Salmon_SJ46_NC_031129(1),PHAGE_Pseudo_VCM_NC_029065(1),PHAGE_Bacill_CP_51_NC_025423(1)",2,25%,63.00%,CP000152.1,NA,NA,NA
1,32.9Kb,intact(100),"portal,head,capsid,tail,plate",1317284-1350211,0,41,30,4,82.9%,7,no,19,"PHAGE_Thermu_OH2_NC_021784(6),PHAGE_Brevib_Osiris_NC_028969(6),PHAGE_Brevib_Jimmer1_NC_029104(5),PHAGE_Clostr_phiCT453A_NC_028991(5),PHAGE_Bacill_SPbeta_NC_001884(5),PHAGE_Brevib_Abouo_NC_029029(5),PHAGE_Brevib_Davies_NC_022980(4),PHAGE_Clostr_phiCT9441A_NC_029022(4),PHAGE_Bacill_PM1_NC_020883(3),PHAGE_Clostr_phiMMP01_NC_028883(3),PHAGE_Lactob_phig1e_NC_004305(2),PHAGE_Bacill_BalMu_1_NC_030945(2),PHAGE_Lactoc_98201_NC_031064(2),PHAGE_Bacill_SP_10_NC_019487(2),PHAGE_Bacill_Waukesha92_NC_025424(2),PHAGE_Lactoc_28201_NC_031013(2),PHAGE_Lister_A500_NC_009810(2),PHAGE_Clostr_phiCDHM11_NC_029001(2),PHAGE_Clostr_phiCT453B_NC_029004(2),PHAGE_Rhizob_vB_RleS_L338C_NC_023502(2),PHAGE_Clostr_phiCDHM13_NC_029116(2),PHAGE_Clostr_phiCD27_NC_011398(2),PHAGE_Clostr_CDMH1_NC_024144(2),PHAGE_Haloru_CGphi46_NC_021537(1),PHAGE_Paenib_Harrison_NC_028746(1),PHAGE_Bacill_Stills_NC_028777(1),PHAGE_Bacill_Shanette_NC_028983(1),PHAGE_Bacill_phi4J1_NC_029008(1),PHAGE_Bacill_IEBH_NC_011167(1),PHAGE_Lister_LP_026_NC_024375(1),PHAGE_Bacill_phBC6A51_NC_004820(1),PHAGE_Strept_EJ_1_NC_005294(1),PHAGE_Methan_psiM2_NC_001902(1),PHAGE_Bacill_SPO1_NC_011421(1),PHAGE_Prochl_P_TIM68_NC_028955(1),PHAGE_Synech_S_SM2_NC_015279(1),PHAGE_Bacill_phIS3501_NC_019502(1),PHAGE_Bacill_Slash_NC_022774(1),PHAGE_Lister_vB_LmoM_AG20_NC_020871(1),PHAGE_Clostr_phiCD119_NC_007917(1),PHAGE_Clostr_phiCTC2B_NC_030951(1),PHAGE_Bacill_Eldridge_NC_030920(1),PHAGE_Staphy_SpaA1_NC_018277(1),PHAGE_Bacill_BM5_NC_029069(1),PHAGE_Clostr_phiMMP03_NC_028959(1),PHAGE_Bacill_1_NC_009737(1),PHAGE_Bacill_BMBtpLA_NC_028748(1),PHAGE_Brocho_A9_NC_015253(1),PHAGE_Lactob_KC5a_NC_007924(1),PHAGE_Bacill_JL_NC_028982(1),PHAGE_Lactob_Lj771_NC_010179(1),PHAGE_Lister_LP_037_NC_021787(1),PHAGE_Halovi_HSTV_1_NC_021471(1),PHAGE_Lactob_jlb1_NC_024206(1),PHAGE_Strept_Jay2Jay_NC_029098(1),PHAGE_Bacill_CP_51_NC_025423(1),PHAGE_Staphy_6ec_NC_024355(1),PHAGE_Clostr_phiCD505_NC_028764(1),PHAGE_Lactob_LfeSau_NC_029068(1),PHAGE_Strept_PH15_NC_010945(1),PHAGE_Bacill_SPP1_NC_004166(1),PHAGE_Bacill_Staley_NC_022767(1),PHAGE_Lister_LP_114_NC_024392(1),PHAGE_Clostr_phiCDHM19_NC_028996(1),PHAGE_Bacill_Stahl_NC_028856(1),PHAGE_Vibrio_SIO_2_NC_016567(1),PHAGE_Geobac_GBSV1_NC_008376(1)",6,14.63%,47.56%,CP000002.3,NA,NA,NA
2,41.5Kb,questionable(90),"integrase,terminase,portal,capsid,tail,head",1422705-1464297,0,62,44,12,90.3%,6,yes,29,"PHAGE_Bacill_SPP1_NC_004166(12),PHAGE_Bacill_PM1_NC_020883(5),PHAGE_Geobac_GBSV1_NC_008376(5),PHAGE_Staphy_B166_NC_028859(4),PHAGE_Lister_A118_NC_003216(4),PHAGE_Staphy_96_NC_007057(4),PHAGE_Thermu_OH2_NC_021784(4),PHAGE_Lister_vB_LmoS_188_NC_028871(4),PHAGE_Staphy_phinm4_NC_028864(4),PHAGE_Bacill_1_NC_009737(4),PHAGE_Staphy_phiJB_NC_028669(4),PHAGE_Clostr_phiCT19406B_NC_030947(3),PHAGE_Clostr_phiCTC2B_NC_030951(3),PHAGE_Staphy_DW2_NC_024391(3),PHAGE_Geobac_GBK2_NC_023612(3),PHAGE_Bacill_IEBH_NC_011167(2),PHAGE_Bacill_PfEFR_5_NC_031055(2),PHAGE_Paenib_Tripp_NC_028930(2),PHAGE_Lister_A006_NC_009815(2),PHAGE_Staphy_37_NC_007055(2),PHAGE_Staphy_EW_NC_007056(2),PHAGE_Bacill_BM5_NC_029069(2),PHAGE_Paenib_HB10c2_NC_028758(2),PHAGE_Brevib_Davies_NC_022980(2),PHAGE_Bacter_Rani_NC_029084(2),PHAGE_Lister_LP_030_3_NC_024384(2),PHAGE_Bacill_Grass_NC_022771(2),PHAGE_Staphy_71_NC_007059(2),PHAGE_Clostr_phiMMP02_NC_019421(2),PHAGE_Lister_vB_LmoS_293_NC_028929(2),PHAGE_Brevib_Abouo_NC_029029(2),PHAGE_Bacill_phi105_NC_004167(2),PHAGE_Brevib_Osiris_NC_028969(2),PHAGE_Bacill_250_NC_029024(2),PHAGE_Clostr_phiMMP01_NC_028883(2),PHAGE_Caulob_karma_NC_019410(1),PHAGE_Bacill_WBeta_NC_007734(1),PHAGE_Clostr_phiC2_NC_009231(1),PHAGE_Bacill_Shbh1_NC_030925(1),PHAGE_Bacill_Fah_NC_007814(1),PHAGE_Bacill_Stills_NC_028777(1),PHAGE_Staphy_IME_SA4_NC_029025(1),PHAGE_Staphy_80_NC_030652(1),PHAGE_Staphy_SA13_NC_021863(1),PHAGE_Bacill_phBC6A51_NC_004820(1),PHAGE_Bacill_Glittering_NC_022766(1),PHAGE_Bacter_Sitara_NC_028854(1),PHAGE_Bacill_phIS3501_NC_019502(1),PHAGE_Bacill_Slash_NC_022774(1),PHAGE_Staphy_phinm2_NC_028913(1),PHAGE_Clostr_phiCD119_NC_007917(1),PHAGE_Lactob_phijl1_NC_006936(1),PHAGE_Clostr_phiCTC2A_NC_030949(1),PHAGE_Clostr_phi8074_B1_NC_019924(1),PHAGE_Clostr_phiMMP03_NC_028959(1),PHAGE_Bacill_BMBtpLA_NC_028748(1),PHAGE_Staphy_CNPx_NC_031241(1),PHAGE_Lister_B025_NC_009812(1),PHAGE_Staphy_phiNM_NC_008583(1),PHAGE_Bacill_Waukesha92_NC_025424(1),PHAGE_Clostr_phiCD211_NC_029048(1),PHAGE_Paenib_Fern_NC_028851(1),PHAGE_Lister_P70_NC_018831(1),PHAGE_Bacill_Andromeda_NC_020478(1),PHAGE_Paenib_phiIBB_Pl23_NC_021865(1),PHAGE_Staphy_187_NC_007047(1),PHAGE_Bacill_BCJA1c_NC_006557(1),PHAGE_Lister_A500_NC_009810(1),PHAGE_Staphy_Ipla7_NC_018284(1),PHAGE_Brocho_BL3_NC_015254(1),PHAGE_Bacill_Eoghan_NC_020477(1),PHAGE_Pseudo_phi297_NC_016762(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Pseudo_YMC11/07/P54_PAE_BP_NC_030909(1),PHAGE_Staphy_phiRS7_NC_022914(1),PHAGE_Staphy_CNPH82_NC_008722(1),PHAGE_Bacter_Diva_NC_028788(1),PHAGE_Geobac_E3_NC_029073(1),PHAGE_Bacill_AR9_NC_031039(1),PHAGE_Lactob_ATCC8014_NC_019916(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Clostr_phiCT453B_NC_029004(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Staphy_3MRA_NC_028917(1),PHAGE_Staphy_ROSA_NC_007058(1),PHAGE_Bacill_Staley_NC_022767(1),PHAGE_Clostr_phiCD27_NC_011398(1),PHAGE_Lister_LP_114_NC_024392(1),PHAGE_Lister_B054_NC_009813(1),PHAGE_Clostr_phiCDHM19_NC_028996(1),PHAGE_Staphy_phiETA3_NC_008799(1),PHAGE_Staphy_TEM123_NC_017968(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Bacill_Riggi_NC_022765(1),PHAGE_Staphy_StauST398_3_NC_021332(1),PHAGE_Thermo_THSA_485A_NC_018264(1),PHAGE_Bacill_Stahl_NC_028856(1),PHAGE_Pedioc_clP1_NC_016161(1),PHAGE_Lister_P40_NC_011308(1),PHAGE_Clostr_phiCT19406A_NC_030950(1)",12,19.35%,42.51%,CP000002.3,NA,NA,NA
3,15.1Kb,intact(110),"terminase,portal,protease,capsid,tail,head",1509624-1524794,0,21,18,2,95.2%,1,no,11,"PHAGE_Paenib_Vegas_NC_028767(5),PHAGE_Bacter_Rani_NC_029084(5),PHAGE_Paenib_Fern_NC_028851(4),PHAGE_Paenib_Harrison_NC_028746(4),PHAGE_Bacill_PfEFR_5_NC_031055(4),PHAGE_Paenib_HB10c2_NC_028758(4),PHAGE_Bacill_WBeta_NC_007734(3),PHAGE_Paenib_phiIBB_Pl23_NC_021865(3),PHAGE_Bacter_Diva_NC_028788(3),PHAGE_Bacill_Gamma_NC_007458(3),PHAGE_Paenib_Xenia_NC_028837(3),PHAGE_Bacill_Fah_NC_007814(2),PHAGE_Bacter_Sitara_NC_028854(2),PHAGE_Bacill_BM5_NC_029069(2),PHAGE_Bacill_Grass_NC_022771(1),PHAGE_Clostr_phiCP26F_NC_019496(1),PHAGE_Burkho_BcepIL02_NC_012743(1),PHAGE_Clostr_phiCD6356_NC_015262(1),PHAGE_Lister_vB_LmoS_188_NC_028871(1),PHAGE_Bacill_vB_BhaS_171_NC_030904(1),PHAGE_Staphy_phi5967PVL_NC_019921(1),PHAGE_Geobac_E2_NC_009552(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Bacill_phIS3501_NC_019502(1),PHAGE_Lister_A006_NC_009815(1),PHAGE_Paenib_Tripp_NC_028930(1),PHAGE_Staphy_phiPVL_CN125_NC_012784(1),PHAGE_Pseudo_JBD44_NC_030929(1),PHAGE_Clostr_phiCD119_NC_007917(1),PHAGE_Bacill_BtCS33_NC_018085(1),PHAGE_Geobac_E3_NC_029073(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lister_vB_LmoS_293_NC_028929(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Bacill_SPP1_NC_004166(1),PHAGE_Rhizob_vB_RleM_PPF1_NC_025427(1),PHAGE_Halovi_HGTV_1_NC_021328(1),PHAGE_Clostr_phiCDHM19_NC_028996(1),PHAGE_Sinorh_phiLM21_NC_029046(1),PHAGE_Lister_LP_030_3_NC_024384(1)",5,23.8%,45.87%,CP000002.3,NA,NA,NA
4,30.4Kb,incomplete(40),"tail,integrase",1524435-1554925,0,14,14,0,100%,0,yes,10,"PHAGE_Geobac_E2_NC_009552(3),PHAGE_Bacill_SPbeta_NC_001884(3),PHAGE_Bacill_WBeta_NC_007734(2),PHAGE_Lister_vB_LmoS_293_NC_028929(2),PHAGE_Bacill_Gamma_NC_007458(2),PHAGE_Lister_LP_030_3_NC_024384(2),PHAGE_Paenib_Fern_NC_028851(1),PHAGE_Bacill_phiNIT1_NC_021856(1),PHAGE_Bacill_Grass_NC_022771(1),PHAGE_Brevib_Jimmer1_NC_029104(1),PHAGE_Bacill_TsarBomba_NC_028890(1),PHAGE_Bacill_Fah_NC_007814(1),PHAGE_Staphy_IME_SA4_NC_029025(1),PHAGE_Staphy_S25_4_NC_022918(1),PHAGE_Lister_vB_LmoS_188_NC_028871(1),PHAGE_Bacill_SPO1_NC_011421(1),PHAGE_Bacill_vB_BhaS_171_NC_030904(1),PHAGE_Bacill_phIS3501_NC_019502(1),PHAGE_Staphy_S25_3_NC_022920(1),PHAGE_Staphy_P108_NC_025426(1),PHAGE_Paenib_Tripp_NC_028930(1),PHAGE_Strept_phiSASD1_NC_014229(1),PHAGE_Staphy_MCE_2014_NC_025416(1),PHAGE_Bacill_vB_BanS_Tsamsa_NC_023007(1),PHAGE_Bacill_Bobb_NC_024792(1),PHAGE_Staphy_SpaA1_NC_018277(1),PHAGE_Brevib_Abouo_NC_029029(1),PHAGE_Bacill_BM5_NC_029069(1),PHAGE_Bacill_Bp8p_C_NC_029121(1),PHAGE_Bacill_phi105_NC_004167(1),PHAGE_Bacill_BCP78_NC_018860(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Brevib_Davies_NC_022980(1),PHAGE_Strept_SF1_NC_028807(1),PHAGE_Entero_phiFL2A_NC_013643(1),PHAGE_Bacill_Waukesha92_NC_025424(1),PHAGE_Entero_phiFL1A_NC_013646(1),PHAGE_Bacill_CampHawk_NC_022761(1),PHAGE_Bacill_phBC6A52_NC_004821(1),PHAGE_Bacill_phiAGATE_NC_020081(1),PHAGE_Staphy_JD007_NC_019726(1),PHAGE_Strept_SF3_NC_028952(1),PHAGE_Clostr_phiCD211_NC_029048(1)",3,21.42%,43.07%,CP000002.3,NA,NA,NA
5,58.8Kb,intact(130),"transposase,head,tail,protease,terminase,coat,integrase",3421944-3480748,1,70,52,13,92.8%,5,yes,27,"PHAGE_Bacill_phi105_NC_004167(19),PHAGE_Bacill_phIS3501_NC_019502(9),PHAGE_Bacill_BM5_NC_029069(9),PHAGE_Geobac_E2_NC_009552(8),PHAGE_Bacill_WBeta_NC_007734(6),PHAGE_Thermu_OH2_NC_021784(5),PHAGE_Bacill_PM1_NC_020883(5),PHAGE_Bacill_BtCS33_NC_018085(5),PHAGE_Bacill_SPbeta_NC_001884(5),PHAGE_Bacill_Gamma_NC_007458(4),PHAGE_Bacill_Fah_NC_007814(3),PHAGE_Bacill_phiCM3_NC_023599(3),PHAGE_Paenib_Fern_NC_028851(3),PHAGE_Clostr_phi3626_NC_003524(3),PHAGE_Staphy_PVL_NC_002321(2),PHAGE_Lister_A118_NC_003216(2),PHAGE_Bacill_IEBH_NC_011167(2),PHAGE_Bacill_phBC6A51_NC_004820(2),PHAGE_Paenib_Vegas_NC_028767(2),PHAGE_Paenib_HB10c2_NC_028758(2),PHAGE_Shigel_SfIV_NC_022749(2),PHAGE_Bacill_G_NC_023719(2),PHAGE_Staphy_SPbeta_like_NC_029119(2),PHAGE_Clostr_phiCT19406C_NC_029006(2),PHAGE_Lactob_A2_NC_004112(2),PHAGE_Bacill_250_NC_029024(2),PHAGE_Clostr_CDMH1_NC_024144(2),PHAGE_Acinet_vB_AbaS_TRS1_NC_031098(1),PHAGE_Clostr_phiCP39_O_NC_011318(1),PHAGE_Paenib_Harrison_NC_028746(1),PHAGE_Brevib_Jimmer1_NC_029104(1),PHAGE_Strept_phiHau3_NC_018836(1),PHAGE_Gordon_BritBrat_NC_030942(1),PHAGE_Bacill_Stills_NC_028777(1),PHAGE_Staphy_80_NC_030652(1),PHAGE_Staphy_tp310_3_NC_009763(1),PHAGE_Bacill_Shanette_NC_028983(1),PHAGE_Entero_SfV_NC_003444(1),PHAGE_Lister_LP_026_NC_024375(1),PHAGE_Strept_Alq132_NC_013598(1),PHAGE_Lactoc_Q54_NC_008364(1),PHAGE_Lister_vB_LmoS_188_NC_028871(1),PHAGE_Bacill_SPO1_NC_011421(1),PHAGE_Entero_EFC_1_NC_025453(1),PHAGE_Staphy_X2_NC_007065(1),PHAGE_Bacill_PfEFR_5_NC_031055(1),PHAGE_Gordon_Zirinka_NC_031097(1),PHAGE_Bacill_Slash_NC_022774(1),PHAGE_Staphy_37_NC_007055(1),PHAGE_Staphy_phinm2_NC_028913(1),PHAGE_Lactob_PLE2_NC_031036(1),PHAGE_Bacill_BCD7_NC_019515(1),PHAGE_Strept_DT1_NC_002072(1),PHAGE_Staphy_EW_NC_007056(1),PHAGE_Staphy_SpaA1_NC_018277(1),PHAGE_Brevib_Jenst_NC_028805(1),PHAGE_Salmon_118970_sal3_NC_031940(1),PHAGE_Brevib_Davies_NC_022980(1),PHAGE_Bacill_BMBtpLA_NC_028748(1),PHAGE_Bacill_SP_10_NC_019487(1),PHAGE_Entero_mEp460_NC_019716(1),PHAGE_Bacill_JL_NC_028982(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Lactoc_bIL309_NC_002668(1),PHAGE_Bacill_Waukesha92_NC_025424(1),PHAGE_Staphy_phiNM_NC_008583(1),PHAGE_Paenib_Xenia_NC_028837(1),PHAGE_Bacill_CampHawk_NC_022761(1),PHAGE_Staphy_tp310_2_NC_009762(1),PHAGE_Strept_SF3_NC_028952(1),PHAGE_Lister_LP_030_3_NC_024384(1),PHAGE_Lister_LP_030_2_NC_021539(1),PHAGE_Lister_P70_NC_018831(1),PHAGE_Lister_LP_037_NC_021787(1),PHAGE_Idioma_1N2_2_NC_025439(1),PHAGE_Clostr_phiCP26F_NC_019496(1),PHAGE_Mycoba_Wildcat_NC_008206(1),PHAGE_Paenib_phiIBB_Pl23_NC_021865(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Lister_A500_NC_009810(1),PHAGE_Brocho_BL3_NC_015254(1),PHAGE_Staphy_DW2_NC_024391(1),PHAGE_Lactob_CL2_NC_028835(1),PHAGE_Entero_IME_EFm5_NC_028826(1),PHAGE_Clostr_phiMMP02_NC_019421(1),PHAGE_Clostr_phiCP34O_NC_019508(1),PHAGE_Strept_phiSASD1_NC_014229(1),PHAGE_Bacill_CP_51_NC_025423(1),PHAGE_Staphy_phiN315_NC_004740(1),PHAGE_Bacter_Diva_NC_028788(1),PHAGE_Bacill_Moonbeam_NC_027374(1),PHAGE_Brevib_Abouo_NC_029029(1),PHAGE_Bacill_SPP1_NC_004166(1),PHAGE_Methan_psiM100_NC_002628(1),PHAGE_Staphy_phiBU01_NC_026016(1),PHAGE_Plankt_PaV_LD_NC_016564(1),PHAGE_Bacill_Staley_NC_022767(1),PHAGE_Lister_LP_114_NC_024392(1),PHAGE_Lactob_LBR48_NC_027990(1),PHAGE_Yersin_PY54_NC_005069(1),PHAGE_Clostr_phiCT9441A_NC_029022(1),PHAGE_Staphy_tp310_1_NC_009761(1),PHAGE_Lactob_Lrm1_NC_011104(1),PHAGE_Strept_O1205_NC_004303(1),PHAGE_Bacill_Stahl_NC_028856(1),PHAGE_Staphy_StauST398_5_NC_023500(1),PHAGE_Staphy_3A_NC_007053(1),PHAGE_Staphy_Ipla88_NC_011614(1)",18,27.14%,42.29%,CP000002.3,NA,NA,NA
1,44.1Kb,questionable(90),"tail,head,capsid,portal,recombinase",3542072-3586174,0,54,42,2,81.4%,10,yes,25,"PHAGE_Bacill_Mater_NC_027366(12),PHAGE_Bacill_1_NC_009737(10),PHAGE_Geobac_GBSV1_NC_008376(10),PHAGE_Bacill_phi4B1_NC_028886(6),PHAGE_Bacill_BMBtpLA_NC_028748(6),PHAGE_Lactoc_bIL285_NC_002666(6),PHAGE_Bacill_phBC6A51_NC_004820(4),PHAGE_Geobac_E2_NC_009552(4),PHAGE_Paenib_PG1_NC_021558(4),PHAGE_Bacill_WBeta_NC_007734(3),PHAGE_Bacill_Fah_NC_007814(3),PHAGE_Bacill_phi4J1_NC_029008(3),PHAGE_Thermu_OH2_NC_021784(3),PHAGE_Bacill_Gamma_NC_007458(3),PHAGE_Bacill_TP21_L_NC_011645(3),PHAGE_Strept_PH10_NC_012756(3),PHAGE_Bacill_BM5_NC_029069(3),PHAGE_Bacill_Waukesha92_NC_025424(3),PHAGE_Bacill_phi105_NC_004167(3),PHAGE_Bacill_PBC1_NC_017976(2),PHAGE_Clostr_phiCD506_NC_028838(2),PHAGE_Clostr_phiCD481_1_NC_028951(2),PHAGE_Bacill_BtCS33_NC_018085(2),PHAGE_Deep_s_D6E_NC_019544(2),PHAGE_Paenib_HB10c2_NC_028758(2),PHAGE_Lactob_iA2_NC_028830(2),PHAGE_Bacill_G_NC_023719(2),PHAGE_Clostr_phiMMP04_NC_019422(2),PHAGE_Lister_B054_NC_009813(2),PHAGE_Clostr_CDMH1_NC_024144(2),PHAGE_Clostr_phiCP39_O_NC_011318(1),PHAGE_Brevib_Jimmer1_NC_029104(1),PHAGE_Staphy_96_NC_007057(1),PHAGE_Bacill_Shanette_NC_028983(1),PHAGE_Sulfol_STSV2_NC_020077(1),PHAGE_Bacill_Pony_NC_022770(1),PHAGE_Staphy_53_NC_007049(1),PHAGE_Staphy_StB12_NC_020490(1),PHAGE_Bacill_Bcp1_NC_024137(1),PHAGE_Bacill_phIS3501_NC_019502(1),PHAGE_Bacill_phiCM3_NC_023599(1),PHAGE_Staphy_77_NC_005356(1),PHAGE_Clostr_c_st_NC_007581(1),PHAGE_Clostr_phiCD119_NC_007917(1),PHAGE_Lactob_PLE2_NC_031036(1),PHAGE_Staphy_phiNM3_NC_008617(1),PHAGE_Staphy_SpaA1_NC_018277(1),PHAGE_Staphy_88_NC_007063(1),PHAGE_Bacill_BMBtp2_NC_019912(1),PHAGE_Clostr_phiCD38_2_NC_015568(1),PHAGE_Staphy_B236_NC_028915(1),PHAGE_Clostr_phiCD111_NC_028905(1),PHAGE_Paenib_Xenia_NC_028837(1),PHAGE_Bacter_Rani_NC_029084(1),PHAGE_Paenib_Fern_NC_028851(1),PHAGE_Staphy_42E_NC_007052(1),PHAGE_Clostr_phiCP26F_NC_019496(1),PHAGE_Bacill_vB_BceM_Bc431v3_NC_020873(1),PHAGE_Bacill_BCJA1c_NC_006557(1),PHAGE_Bacill_Page_NC_022764(1),PHAGE_Staphy_StauST398_4_NC_023499(1),PHAGE_Clostr_phiCDHM11_NC_029001(1),PHAGE_Bacill_CP_51_NC_025423(1),PHAGE_Staphy_phiN315_NC_004740(1),PHAGE_Clostr_phiCD146_NC_028958(1),PHAGE_Sulfol_STSV1_NC_006268(1),PHAGE_Clostr_phiCDHM13_NC_029116(1),PHAGE_Rhizob_16_3_NC_011103(1),PHAGE_Bacill_BCP78_NC_018860(1),PHAGE_Geobac_GBK2_NC_023612(1),PHAGE_Brevib_Osiris_NC_028969(1),PHAGE_Clostr_phiCDHM19_NC_028996(1),PHAGE_Clostr_phi3626_NC_003524(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Staphy_StauST398_3_NC_021332(1),PHAGE_Staphy_P954_NC_013195(1),PHAGE_Staphy_Ipla88_NC_011614(1)",4,22.22%,34.41%,CP000001.1,NA,NA,NA
2,10.7Kb,incomplete(40),"integrase,head",3591760-3602554,1,7,4,0,57.1%,3,yes,3,"PHAGE_Acidia_virus_NC_029316(1),PHAGE_Bacill_Riley_NC_024788(1),PHAGE_Bacill_JBP901_NC_027352(1),PHAGE_Mycoba_Adler_NC_023591(1),PHAGE_Bacill_G_NC_023719(1),PHAGE_Bacill_BCP8_2_NC_027355(1),PHAGE_Synech_S_CAM7_NC_031927(1),PHAGE_Bacill_BM5_NC_029069(1),PHAGE_Bacill_Bcp1_NC_024137(1),PHAGE_Sulfol_SMV1_NC_023585(1)",2,14.28%,41.43%,CP000001.1,NA,NA,NA
1,21.3Kb,incomplete(50),"transposase,tail,lysin",1025611-1046919,1,18,13,0,72.2%,5,no,10,NA,NA,NA,41.17%,BA000004.3,PHAGE_Bacill_BCJA1c,4,22.2%
2,37.8Kb,incomplete(50),"tail,coat,integrase",3617736-3655581,1,39,32,0,82%,7,yes,17,NA,NA,NA,43.88%,BA000004.3,PHAGE_Strept_5,9,23%
