header,taxon,protein,sp,description,vog,.species.name,phage.nonphage,source,source.version,acc,n_clstr,nt,perc_id_to_rep,is_rep,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,viral.family,protClstr,aa,perc.id_protClstr,protClstr_rep
2697537.YP_010074270.1 RNA polymerase sigma factor [Escherichia phage teqhad],2697537,YP_010074270.1,Escherichia phage teqhad, RNA polymerase sigma factor,VOG02363,Escherichia phage teqhad,phage,NCBI Refseq,209,NC_054933,2796,167892,100,TRUE,Escherichia phage teqhad,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus teqhad,NC_054933,NA,NA,NA,511145,Escherichia coli str. K-12 substr. MG1655,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
2697539.YP_010074696.1 RNA polymerase sigma factor [Escherichia phage teqskov],2697539,YP_010074696.1,Escherichia phage teqskov, RNA polymerase sigma factor,VOG02363,Escherichia phage teqskov,phage,NCBI Refseq,209,NC_054934,2856,165017,100,TRUE,Escherichia phage teqskov,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus teqskov,NC_054934,NA,NA,NA,511145,Escherichia coli str. K-12 substr. MG1655,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
2698907.YP_009966570.1 hypothetical protein [Salmonella phage Se-G],2698907,YP_009966570.1,Salmonella phage Se-G, hypothetical protein,VOG02363,Salmonella phage Se-G,phage,NCBI Refseq,209,NC_049496,3212,158892,100,TRUE,Salmonella phage Se-G,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus SeG,NC_049496,NA,NA,NA,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
2698910.YP_009966889.1 hypothetical protein [Salmonella phage Se-J],2698910,YP_009966889.1,Salmonella phage Se-J, hypothetical protein,VOG02363,Salmonella phage Se-J,phage,NCBI Refseq,209,NC_049497,3201,160400,100,TRUE,Salmonella phage Se-J,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus SeJ,NC_049497,NA,NA,NA,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella,NA,RefSeq,NA,NA,1,Ackermannviridae,1,264,98.86,FALSE
2700089.YP_009949006.1 hypothetical protein [Salmonella phage Se-B],2700089,YP_009949006.1,Salmonella phage Se-B, hypothetical protein,VOG02363,Salmonella phage Se-B,phage,NCBI Refseq,209,NC_049495,3310,158087,100,TRUE,Salmonella phage Se-B,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus SeB,NC_049495,NA,NA,NA,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
2712940.YP_009889411.1 sigma factor involved in late transcription [Salmonella phage P46FS4],2712940,YP_009889411.1,Salmonella phage P46FS4, sigma factor involved in late transcription,VOG02363,Salmonella phage P46FS4,phage,NCBI Refseq,209,NC_049509,3211,158706,100,TRUE,Salmonella phage P46FS4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Aglimvirinae; Agtrevirus; Salmonella virus P46FS4,NC_049509,NA,NA,NA,590,Salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,Ackermannviridae,15,263,96.2,FALSE
2712972.YP_010106179.1 RNA polymerase sigma factor [Phage NBEco003],2712972,YP_010106179.1,Phage NBEco003, RNA polymerase sigma factor,VOG02363,Phage NBEco003,phage,NCBI Refseq,209,NC_055831,2891,166579,100,TRUE,Phage NBEco003,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus NBEco003,NC_055831,NA,NA,NA,561,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,Myoviridae,0,185,100,FALSE
2713273.YP_009888193.1 sigma factor involved in late transcription [Salmonella phage aagejoakim],2713273,YP_009888193.1,Salmonella phage aagejoakim, sigma factor involved in late transcription,VOG02363,Salmonella phage aagejoakim,phage,NCBI Refseq,209,NC_049503,3294,156801,100,TRUE,Salmonella phage aagejoakim,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus aagejoakim,NC_049503,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
2713274.YP_009887785.1 sigma factor involved in late transcription [Salmonella phage allotria],2713274,YP_009887785.1,Salmonella phage allotria, sigma factor involved in late transcription,VOG02363,Salmonella phage allotria,phage,NCBI Refseq,209,NC_049501,3110,151015,100,TRUE,Salmonella phage allotria,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus allotria,NC_049501,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,264,98.86,FALSE
2713278.YP_009888601.1 sigma factor involved in late transcription [Salmonella phage barely],2713278,YP_009888601.1,Salmonella phage barely, sigma factor involved in late transcription,VOG02363,Salmonella phage barely,phage,NCBI Refseq,209,NC_049505,3298,157920,100,TRUE,Salmonella phage barely,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus barely,NC_049505,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,264,98.86,FALSE
2713281.YP_009887992.1 sigma factor involved in late transcription [Salmonella phage bering],2713281,YP_009887992.1,Salmonella phage bering, sigma factor involved in late transcription,VOG02363,Salmonella phage bering,phage,NCBI Refseq,209,NC_049502,3266,156130,100,TRUE,Salmonella phage bering,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus bering,NC_049502,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
2713292.YP_009888395.1 sigma factor involved in late transcription [Salmonella phage dinky],2713292,YP_009888395.1,Salmonella phage dinky, sigma factor involved in late transcription,VOG02363,Salmonella phage dinky,phage,NCBI Refseq,209,NC_049504,3314,157254,100,TRUE,Salmonella phage dinky,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus dinky,NC_049504,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
2713301.YP_009887602.1 sigma factor involved in late transcription [Salmonella phage heyday],2713301,YP_009887602.1,Salmonella phage heyday, sigma factor involved in late transcription,VOG02363,Salmonella phage heyday,phage,NCBI Refseq,209,NC_049500,3164,144232,100,TRUE,Salmonella phage heyday,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus heyday,NC_049500,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
2713304.YP_009889208.1 sigma factor involved in late transcription [Salmonella phage maane],2713304,YP_009889208.1,Salmonella phage maane, sigma factor involved in late transcription,VOG02363,Salmonella phage maane,phage,NCBI Refseq,209,NC_049508,3225,159128,100,TRUE,Salmonella phage maane,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus maane,NC_049508,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,264,98.48,FALSE
2713306.YP_009888800.1 sigma factor involved in late transcription [Salmonella phage moki],2713306,YP_009888800.1,Salmonella phage moki, sigma factor involved in late transcription,VOG02363,Salmonella phage moki,phage,NCBI Refseq,209,NC_049506,3305,158230,100,TRUE,Salmonella phage moki,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus moki,NC_049506,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,100,FALSE
2713310.YP_009889009.1 sigma factor involved in late transcription [Salmonella phage pertopsoe],2713310,YP_009889009.1,Salmonella phage pertopsoe, sigma factor involved in late transcription,VOG02363,Salmonella phage pertopsoe,phage,NCBI Refseq,209,NC_049507,3223,158905,100,TRUE,Salmonella phage pertopsoe,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus pertopsoe,NC_049507,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,263,99.61999999999999,FALSE
2713314.YP_009887411.1 sigma factor involved in late transcription [Salmonella phage rabagast],2713314,YP_009887411.1,Salmonella phage rabagast, sigma factor involved in late transcription,VOG02363,Salmonella phage rabagast,phage,NCBI Refseq,209,NC_049499,3187,143249,100,TRUE,Salmonella phage rabagast,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus rabagast,NC_049499,NA,NA,NA,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,Ackermannviridae,1,264,98.48,FALSE
2716727.YP_010065709.1 RNA polymerase sigma factor [Citrobacter phage PhiZZ23],2716727,YP_010065709.1,Citrobacter phage PhiZZ23, RNA polymerase sigma factor,VOG02363,Citrobacter phage PhiZZ23,phage,NCBI Refseq,209,NC_054901,2815,167516,100,TRUE,Citrobacter phage PhiZZ23,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Citrobacter virus PhiZZ23,NC_054901,NA,NA,NA,67825,Citrobacter rodentium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Citrobacter,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
2716728.YP_010065436.1 RNA polymerase sigma factor [Citrobacter phage PhiZZ6],2716728,YP_010065436.1,Citrobacter phage PhiZZ6, RNA polymerase sigma factor,VOG02363,Citrobacter phage PhiZZ6,phage,NCBI Refseq,209,NC_054900,2866,165795,100,TRUE,Citrobacter phage PhiZZ6,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Citrobacter virus PhiZZ6,NC_054900,NA,NA,NA,67825,Citrobacter rodentium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Citrobacter,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
2716729.YP_010075608.1 RNA polymerase sigma factor [Serratia phage PhiZZ30],2716729,YP_010075608.1,Serratia phage PhiZZ30, RNA polymerase sigma factor,VOG02363,Serratia phage PhiZZ30,phage,NCBI Refseq,209,NC_054938,2816,167484,100,TRUE,Serratia phage PhiZZ30,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Serratia virus PhiZZ30,NC_054938,NA,NA,NA,104623,Serratia sp. ATCC 39006,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae; Serratia,NA,RefSeq,NA,NA,1,Myoviridae,0,185,100,FALSE
2723773.YP_010107225.1 RNA polymerase sigma factor [Agrobacterium phage OLIVR5],2723773,YP_010107225.1,Agrobacterium phage OLIVR5, RNA polymerase sigma factor,VOG02363,Agrobacterium phage OLIVR5,phage,NCBI Refseq,209,NC_055841,3109,151073,100,TRUE,Agrobacterium phage OLIVR5,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; unclassified Ackermannviridae,NC_055841,NA,NA,NA,1183400,Agrobacterium tumefaciens complex,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae; Agrobacterium,NA,NA,NA,NA,1,Ackermannviridae,278,249,100,TRUE
2724310.YP_010071104.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_IME537],2724310,YP_010071104.1,Escherichia phage vB_EcoM_IME537, RNA polymerase sigma factor,VOG02363,Escherichia phage vB_EcoM_IME537,phage,NCBI Refseq,209,NC_054921,2849,168642,100,TRUE,Escherichia phage vB_EcoM_IME537,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus IME537,NC_054921,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,0,187,100,FALSE
2750846.YP_010068549.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_F1],2750846,YP_010068549.1,Escherichia phage vB_EcoM_F1, RNA polymerase sigma factor,VOG02363,Escherichia phage vB_EcoM_F1,phage,NCBI Refseq,209,NC_054912,2854,168410,100,TRUE,Escherichia phage vB_EcoM_F1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus EcoMF1,NC_054912,NA,NA,NA,561,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,Myoviridae,0,185,99.46000000000001,FALSE
2750850.YP_010071811.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_Lutter],2750850,YP_010071811.1,Escherichia phage vB_EcoM_Lutter, RNA polymerase sigma factor,VOG02363,Escherichia phage vB_EcoM_Lutter,phage,NCBI Refseq,209,NC_054924,3022,170054,100,TRUE,Escherichia phage vB_EcoM_Lutter,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus Lutter,NC_054924,NA,NA,NA,561,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,Myoviridae,0,185,100,FALSE
2750851.YP_010072633.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_Ozark],2750851,YP_010072633.1,Escherichia phage vB_EcoM_Ozark, RNA polymerase sigma factor,VOG02363,Escherichia phage vB_EcoM_Ozark,phage,NCBI Refseq,209,NC_054927,2795,167600,100,TRUE,Escherichia phage vB_EcoM_Ozark,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus Ozark,NC_054927,NA,NA,NA,561,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,1,Myoviridae,0,185,100,FALSE
2772511.YP_009594784.1 sigma factor for late transcription [Pectinobacterium phage vB_PcaM_CBB],2772511,YP_009594784.1,Pectinobacterium phage vB_PcaM_CBB, sigma factor for late transcription,VOG02363,Pectinobacterium phage vB_PcaM_CBB,phage,NCBI Refseq,209,NC_041878,1460,378379,100,TRUE,Pectinobacterium phage vB_PcaM_CBB,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Mimasvirus; Pectinobacterium virus CBB,NC_041878,NA,NA,NA,555,Pectobacterium carotovorum subsp. carotovorum,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae; Pectobacterium; Pectobacterium carotovorum,NA,RefSeq,NA,NA,1,Myoviridae,178,286,100,TRUE
279006.YP_004300680.1 gp55 RNA polymerase sigma factor [Acinetobacter virus 133],279006,YP_004300680.1,Acinetobacter virus 133, gp55 RNA polymerase sigma factor,VOG02363,Acinetobacter virus 133,phage,NCBI Refseq,209,NC_015250,3199,159801,100,TRUE,Acinetobacter virus 133,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae,NC_015250,NA,NA,NA,40214,Acinetobacter johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae; Acinetobacter,21029436,"Literature, NCBI Virus, RefSeq",NA,NA,1,Myoviridae,160,178,100,TRUE
2880362.NP_943911.1 RNA polymerase sigma factor [Aeromonas phage Aeh1],2880362,NP_943911.1,Aeromonas phage Aeh1, RNA polymerase sigma factor,VOG02363,Aeromonas phage Aeh1,phage,NCBI Refseq,209,NC_005260,2541,233234,100,TRUE,Aeromonas phage Aeh1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Aeromonas virus Aeh1,NC_005260,NA,NA,NA,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,RefSeq,NA,NA,1,Myoviridae,93,173,98.27,FALSE
2881391.YP_007005152.1 putative sigma factor for T4-like late transcription (T4 gp55-like) [Campylobacter phage CP21],2881391,YP_007005152.1,Campylobacter phage CP21, putative sigma factor for T4-like late transcription (T4 gp55-like),VOG02363,Campylobacter phage CP21,phage,NCBI Refseq,209,NC_019507,2932,182833,100,TRUE,Campylobacter phage CP21,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Firehammervirus; Campylobacter virus CP21,NC_019507,NA,NA,NA,205,Campylobacter sp.,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,RefSeq,NA,NA,1,Myoviridae,198,255,100,TRUE
2885911.YP_004956929.1 putative sigma factor for late transcription [Campylobacter phage CPX],2885911,YP_004956929.1,Campylobacter phage CPX, putative sigma factor for late transcription,VOG02363,Campylobacter phage CPX,phage,NCBI Refseq,209,NC_016562,2395,132662,100,TRUE,Campylobacter phage CPX,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Fletchervirus; Campylobacter virus CPX,NC_016562,NA,NA,NA,197,Campylobacter jejuni,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,RefSeq,NA,NA,1,Myoviridae,14,289,97.58,FALSE
2886902.YP_004957797.1 gp55 sigma factor for late transcription [Escherichia phage Cba120],2886902,YP_004957797.1,Escherichia phage Cba120, gp55 sigma factor for late transcription,VOG02363,Escherichia phage Cba120,phage,NCBI Refseq,209,NC_016570,3324,157304,100,TRUE,Escherichia phage Cba120,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Escherichia virus CBA120,NC_016570,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,2,Ackermannviridae,1,263,100,FALSE
293178.YP_001595192.1 RNA polymerase sigma factor [Escherichia phage JS98],293178,YP_001595192.1,Escherichia phage JS98, RNA polymerase sigma factor,VOG02363,Escherichia phage JS98,phage,NCBI Refseq,209,NC_010105,2997,170523,100,TRUE,Escherichia phage JS98,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Dhakavirus; Escherichia virus JS98,NC_010105,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,Myoviridae,4,185,97.84,FALSE
31533.YP_009098450.1 RNA polymerase sigma factor [Escherichia phage RB3],31533,YP_009098450.1,Escherichia phage RB3, RNA polymerase sigma factor,VOG02363,Escherichia phage RB3,phage,NCBI Refseq,209,NC_025419,2852,168402,100,TRUE,Escherichia phage RB3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus RB3,NC_025419,NA,NA,NA,37762,Escherichia coli B,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,25555735,"Literature, RefSeq",NA,NA,1,Myoviridae,0,185,100,FALSE
321023.YP_238775.1 RNA polymerase sigma factor [Aeromonas virus 31],321023,YP_238775.1,Aeromonas virus 31, RNA polymerase sigma factor,VOG02363,Aeromonas virus 31,phage,NCBI Refseq,209,NC_007022,3051,172963,100,TRUE,Aeromonas virus 31,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Biquartavirus; unclassified Biquartavirus,NC_007022,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,94,172,100,FALSE
329381.YP_003858349.1 gp55 Sigma factor for late transcription [Escherichia virus RB16],329381,YP_003858349.1,Escherichia virus RB16, gp55 Sigma factor for late transcription,VOG02363,Escherichia virus RB16,phage,NCBI Refseq,209,NC_014467,2941,176788,100,TRUE,Escherichia virus RB16,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Pseudotevenvirus,NC_014467,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,21029436,"Literature, NCBI Virus, RefSeq",NA,NA,1,Myoviridae,6,171,98.25,FALSE
36339.YP_009167437.1 RNA polymerase sigma factor [Enterobacteria phage RB68],36339,YP_009167437.1,Enterobacteria phage RB68, RNA polymerase sigma factor,VOG02363,Enterobacteria phage RB68,phage,NCBI Refseq,209,NC_027979,32,168401,100,TRUE,Enterobacteria phage RB68,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_027979,NA,NA,NA,37762,Escherichia coli B,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,25555735,"Literature, NCBI Virus, RefSeq",NA,NA,1,Myoviridae,0,185,100,FALSE
382359.YP_717814.2 RNA polymerase sigma factor [Synechococcus phage syn9],382359,YP_717814.2,Synechococcus phage syn9, RNA polymerase sigma factor,VOG02363,Synechococcus phage syn9,phage,NCBI Refseq,209,NC_008296,2943,177300,100,TRUE,Synechococcus phage syn9,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_008296,NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,UniProt,NA,NA,2,Myoviridae,123,155,100,TRUE
444859.YP_004323037.1 sigma factor for late transcription [Synechococcus phage S-SM1],444859,YP_004323037.1,Synechococcus phage S-SM1, sigma factor for late transcription,VOG02363,Synechococcus phage S-SM1,phage,NCBI Refseq,209,NC_015282,3052,174079,100,TRUE,Synechococcus phage S-SM1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Thetisvirus; Synechococcus virus SSM1,NC_015282,NA,NA,NA,166310,Synechococcus sp. WH 6501,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,Myoviridae,104,156,100,TRUE
444860.YP_004322282.1 sigma factor for late transcription [Synechococcus phage S-SM2],444860,YP_004322282.1,Synechococcus phage S-SM2, sigma factor for late transcription,VOG02363,Synechococcus phage S-SM2,phage,NCBI Refseq,209,NC_015279,2977,190789,100,TRUE,Synechococcus phage S-SM2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Bellamyvirus; unclassified Bellamyvirus,NC_015279,NA,NA,NA,166321,Synechococcus sp. WH 8017,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,Myoviridae,156,178,100,TRUE
